AppName,Developer ID,Instance#,Source,Sink
ah.creativecodeapps.tiempo-12.apk,Developer16,1,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
ah.creativecodeapps.tiempo-12.apk,Developer16,2,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
ah.creativecodeapps.tiempo-12.apk,Developer16,3,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
ah.creativecodeapps.tiempo-12.apk,Developer16,4,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
ah.creativecodeapps.tiempo-12.apk,Developer16,5,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
ah.creativecodeapps.tiempo-12.apk,Developer16,6,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
ah.creativecodeapps.tiempo-12.apk,Developer16,7,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
ah.creativecodeapps.tiempo-12.apk,Developer16,8,Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,1,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,2,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,3,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putInt:(Ljava/lang/String;I)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,4,Lorg/apache/http/HttpResponse;.getEntity:()Lorg/apache/http/HttpEntity;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,5,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,6,Landroid/app/PendingIntent;.getBroadcast:(Landroid/content/Context;ILandroid/content/Intent;I)Landroid/app/PendingIntent;,Landroid/util/Log;.i:(Ljava/lang/String;Ljava/lang/String;)I
com.accurate.weather.widget-11.apk,Developer17,7,Lorg/apache/http/HttpResponse;.getEntity:()Lorg/apache/http/HttpEntity;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,8,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putInt:(Ljava/lang/String;I)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,9,Landroid/app/PendingIntent;.getBroadcast:(Landroid/content/Context;ILandroid/content/Intent;I)Landroid/app/PendingIntent;,Ljava/io/FilterOutputStream;.write:([B)V
com.accurate.weather.widget-11.apk,Developer17,10,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putInt:(Ljava/lang/String;I)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,11,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,12,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/app/Activity;.startActivity:(Landroid/content/Intent;)V
com.accurate.weather.widget-11.apk,Developer17,13,Lorg/apache/http/HttpResponse;.getEntity:()Lorg/apache/http/HttpEntity;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
com.accurate.weather.widget-11.apk,Developer17,14,Landroid/content/pm/PackageManager;.queryIntentActivities:(Landroid/content/Intent;I)Ljava/util/List;,Landroid/content/SharedPreferences$Editor?;.putString:(Ljava/lang/String;Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;
